Word,Meaning
reef,"n.暗礁"
refine,"v.改善,精炼"
refractory,"adj.桀骜不驯的,不服管教的"
refuge,"n.避难所"
refute,"v.驳斥,否定"
regime,"n.政权,政体,时间,范围"
rejoice,"v.感到高兴,喜悦"
relic,"n.遗迹"
relinquish,"v.放弃"
reluctant,"adj.勉强的,不情愿的"
remarkable,"adj.非凡的,不同寻常的"
remedy,"n.解决办法 v.纠正"
remnant,"n.残余,剩余部分"
renaissance,"n.复兴"
renowned,"adj.著名的"
replenish,"v.补充,重新装满"
replete,"adj.充满的"
replicate,"v.复制"
reprehensible,"adj.应受谴责的"
repress,"v.压制,抑制"
repudiate,"v.否定,驳斥"
requisite,"adj.必要的 n.必要条件,必须品"
resemble,"v.相似,类似"
reserved,"adj.矜持的,寡言少语的"
residual,"adj.残留的,剩余的"
resilient,"adj.有韧性的,有恢复力的"
resort,"n.度假胜地 v.诉诸,求助于"
resourceful,"adj.机智的,足智多谋的"
respective,"adj.分别的,各自的"
respire,"v.呼吸"
responsive,"adj.反应敏捷的,积极响应的"
restorative,"adj.恢复健康的,恢复活力的"
resurgence,"n.复兴,复苏"
retrieve,"v.取回,恢复,挽回"
retrospect,"n.回顾"
revelation,"n.揭露"
revile,"v.憎恨,谩骂"
revolt,"n.反叛,革命"
revolutionary,"adj.革命性的,重大变革的"
rhetoric,"n.浮夸之词,虚华辞藻"
rift,"n.裂口,分歧,严重不和"
rigorous,"adj.严格的,严谨的,一丝不苟的"
robust,"adj.强壮的,坚固的"
roost,"n.栖息处,鸟巢 v.栖息"
routine,"adj.常规的,惯例的"
row,"n.一排,街道 v.争吵"
rudimentary,"adj.根本的,基础的,初步的,初始的"
safeguard,"v.保护,捍卫 n.保护,保卫,安全措施"
salutary,"adj.有益的,有帮助的"
sanguine,"adj.乐观的"
sap,"v.消耗,削弱 n.健康,精力"
saturate,"v.浸透,充满,使饱和"
scatter,"v.分散,散播"
scenario,"n.设想,可能发生的情况"
scholarship,"n.学术研究"
secrete,"v.分泌"
secular,"adj.尘世的,世俗的"
sedentary,"adj.久坐的,定居的"
segregate,"v.隔离,分离"
seminal,"adj.创新的,影响深远的"
severity,"n.严重,严峻"
sham,"n.虚假,虚伪 adj.虚假的"
sheer,"adj.完全的,纯粹的"
shun,"v.刻意避开,回避"
simultaneous,"adj.同时发生的"
skeleton,"n.骨架,框架,纲要,梗概"
skeptical,"adj.怀疑的"
sketchy,"adj.粗略的,大概的"
slant,"n.观点,偏见 v.倾斜"
slight,"adj.微小的,微不足道的 v.轻视"
slippery,"adj.光滑的,狡猾的,棘手的"
sloth,"n.懒惰,懈怠,树懒"
sober,"adj.朴素的,严肃的,冷静的"
solidarity,"n.团结一致"
somber,"adj.灰暗的,单调的,忧伤的,阴郁的"
sophisticated,"adj.老练的,世故的,高级的,复杂的"
sovereignty,"n.主权,自主统治权"
spark,"v.触发,引发"
specious,"adj.虚假的"
spectrum,"n.光谱,范围"
speculate,"v.推测,猜测"
spike,"n.骤生,飙升"
spiral,"adj.螺旋的,旋转的"
split,"v.分离 分开 n.裂缝"
spoil,"v.糟蹋 破坏"
spur,"v.激励,促进"
spurious,"adj.虚假的,伪造的"
stable,"adj.稳定的,稳固不变的"
stagger,"v.使震惊,蹒跚"
stagnate,"v.停滞"
stace,"n.立场态度"
startle,"v.惊吓,使吓一跳"
stemma,"n.家谱,文本谱乐"
stifle,"v.遏制,压制,使窒息"
stipulate,"v.规定,明确要求"
stir,"v.激动,激发,搅动"
straightforward,"adj.直率的,坦诚的"
strand,"n.一股线 v.搁浅"
stratosphere,"n.同温层,平流层"
stratum,"n.层,地层,岩层"
strenuous,"adj.繁重的,艰苦的"
strident,"adj.刺耳的,尖锐的"
stubborn,"adj.倔强的,固执的"
stun,"v.使昏迷,使震惊"
stymie,"v.阻碍,妨碍"
submissive,"adj.恭顺的,服从的"
subsequent,"adj.随后的,后来的"
subservient,"adj.恭顺的,卑躬屈膝的"
substantiate,"v.证实"
succor,"n.救援,救助"
suffrage,"n.选举权"
sulfur,"n.硫"
superficial,"adj.表面的,肤浅的"
supernova,"n.超新星"
superposition,"n.叠加,强加"
supersede,"v.取代,替代"
supplant,"v.替代,取代"
supplement,"v.增补,补充"
supreme,"adj.最高的,至高无上的"
surmise,"n.猜测,推测 v.猜测,推测"
surmount,"v.克服,解决"
surpass,"v.超越,胜过"
surrender,"v.投降,屈服 n.投降,屈服,交出"
susceptible,"adj.易受影响的"
sway,"v.摇摆,影响,左右"
sweeping,"adj.彻底的,广泛的"
symbiosis,"n.共生,互惠"
symmetry,"n.对称,相称"
sympathetic,"adj.同情的"
syndrome,"n.综合症状"
synonymous,"adj.同义的"
syntax,"n.句式,语法"
taboo,"n.禁忌"
tactful,"adj.有分寸的,考虑周全的"
tactic,"n.策略,战术"
tangent,"adj.不相关的,离题的"
tangible,"adj.有形的,可触摸的"
tantalize,"v.挑逗,逗引"
tantamount,"adj.等同的"
tease,"v.嘲弄,嘲笑"
tectonics,"n.地址构造学"
tedious,"无味的,枯燥的"
temperate,"adj.温和的,适度的,有节制的"
tenacious,"adj.坚韧不拔的,执着的"
tenet,"n.原则"
tentative,"adj.试探性的,初步的"
tenuous,"adj.脆弱的,牵强的"
tenure,"n.任职,任期"
textile,"n.纺织品"
theatrical,"adj.戏剧性的,夸张的,演戏的"
thermal,"adj.热的,热量的"
thorough,"adj.全面的,彻底的"
threshold,"n.界限,阈值"
thrive,"v.繁荣,兴旺"
thwart,"v.阻挠,挫败"
tillite,"n.冰碛岩"
timber,"n.木材"
timely,"adj.及时的,适时的"
titanic,"adj.巨大的"
topple,"v.推翻,颠覆"
torpid,"adj.麻木迟钝的,缺乏活力的"
tout,"v.兜售,吹嘘,极力赞扬"
toxic,"adj.有毒的"
trajectory,"n.轨迹"
transcend,"v.超越"
transient,"adj.短暂的"
transitory,"adj.短暂的"
treasure,"n.珍宝 v.珍惜,珍爱"
tremendous,"adj.巨大的,惊人的"
trendy,"adj.时髦的"
trepidation,"n.惊恐,焦虑不安"
tribute,"n.颂词,献礼"
trifling,"adj.微不足道的,不重要的"
truculent,"adj.残暴的,好争斗的"
trumpet,"v.鼓吹,宣传 n.小号,喇叭"
tumult,"n.混乱,骚乱"
turbulent,"adj.混乱的,动荡的"
twig,"n.小树枝"
tyrant,"n.暴君"
ultraviolet,"adj.紫外线的"
unanimous,"adj.意见一致的,无异议的"
uncharacteristic,"adj.不典型的,反常的"
uncompromising,"adj.不妥协的,坚定的"
uncritical,"adj.不加辨别的,不加批判的"
undeniable,"adj.不可否认的,不可争议的"
undercut,"v.削弱"
underlie,"v.构成...的基础,成为...的原因"
undermine,"v.破坏,削弱"
underscore,"v.强调"
undo,"v.抵消,消除,解开"
unearth,"v.出土,揭露,发现"
uneven,"adj.不均衡的,不一致的"
unfathomable,"adj.难以理解的"
unflappable,"adj.镇定的,冷静的"
unfounded,"adj.无根据的"
unmistakable,"adj.确定无疑的,不会弄错的"
unorthodox,"adj.非正统的,非传统的"
unprecedented,"adj.空前的,史无前例的"
unqualified,"adj.不受限制的,完全的,不合格的"
unrelenting,"adj.持续的,不减弱的"
unrivaled,"adj.无可匹敌的"
upbeat,"adj.乐观的"
uprising,"n.起义,暴动"
urchin,"n.海胆"
urgent,"adj.紧急的,紧迫的"
usage,"n.对待方式"
usher,"v.引领"
utilize,"v.利用"
vaccinate,"v.接种疫苗"
vagary,"n.难以预测的变化"
vague,"adj.含糊的,不明确的"
valve,"n.阀门"
vandalism,"n.恶意破坏"
vanish,"v.消失,消亡"
vapid,"adj.空洞乏味的,枯燥的"
variation,"n.变动,变化"
velocity,"n.速度,速率"
venerate,"v.尊重,敬仰"
vent,"n.开口"
Venus,"n.金星"
verbose,"ad冗长的,啰嗦的"
verdict,"n.裁决,裁定"
verifiable,"adj.可证证实的,可核实的"
vernacular,"n.方言,土语"
versatile,"adj.多用途的,通用的,多才多艺的"
verse,"n.诗文 v.使熟练,使精通"
vessel,"n.容器,血管"
vestige,"n.遗迹,残余"
vibrant,"adj.充满活力的,色彩鲜丽的"
vicinity,"n.附近,邻近地区"
vigilant,"adj.警惕的,警觉的"
vigorous,"adj.活跃的,精力旺盛的"
violate,"v.违背,违反"
virtue,"n.优点,长处,美德"
volatile,"adj.易变的,反复无常的"
voluble,"adj.健谈的,滔滔不绝的"
voracious,"adj.贪婪的"
wane,"v.减少,降低,衰弱,月亏"
warble,"v.用颤音歌唱"
warbler,"n.莺,鸣禽"
wary,"adj.小心的,机警的"
wayward,"adj.任性的,难以捉摸的"
wealth,"n.大量,丰富"
weary,"adj.疲劳的,倦怠的"
weather,"v.经受,风化"
whimsical,"adj.异想天开的"
withdraw,"v.撤退,撤回"
withhold,"v.扣留,保留,不给予"
wrinkle,"n.皱褶,皱纹"
zealot,"n.狂热分子,极端分子"
zooplankton,"n.浮游动物"
abase,"v.降低(地位)"
abash,"v.使羞愧"
abate,"v.废除,减轻,减少"
aberrant,"adj.异常的"
abeyance,"n.搁置,中止"
abhor,"v.憎恶"
abjure,"v.正式放弃,拒绝,避免"
abnormal,"adj.异常的"
aboriginal,"adj.土著的,本土原有的"
aboveboard,"adj.光明正大的"
abreast,"adv.并排地,与...齐头并进地"
abridge,"v.缩减,缩短"
abstruse,"adj.深奥的,费解的"
abut,"v.毗连"
abysmal,"adj.深不可测的,糟透的"
accentuate,"v.强调"
accessory,"adj.附属的 n.附件"
acidic,"adj.酸性的"
acolyte,"n.助手,随从"
acoustic,"adj.声学的,听觉的"
acquiesce,"v.默许,服从"
acquisitive,"adj.贪婪的"
"ad hoc","adj.特别的,专设的"
ad-lib,"adj.即兴的"
addict,"n.瘾君子 v.使上瘾"
adjacent,"adj.附近的,毗连的"
adjudicate,"v.裁决"
adjunct,"n.附属物,附件,助手"
admirable,"adj.令人敬佩的"
adore,"v.崇拜,爱慕"
adulation,"n.过度吹捧"
advantageous,"adj.有利的"
adversarial,"adj.敌对的,对立的"
aerobes,"n.需气生物,需氧菌"
affable,"adj.和蔼可亲的"
affliction,"n.折磨人的事物"
affluent,"adj.丰富的,富裕的"
aggravate,"v.使恶化,恼怒"
agility,"n.敏捷"
agitate,"v.煽动,使焦虑"
ailment,"n.小病"
akin,"adj.类似的"
allude,"v.间接提到,暗指"
aloft,"adv.在空中"
aloof,"adj.远离的,冷漠的"
altruistic,"adj.无私的,利他的"
ameliorate,"v.改善"
amenable,"adj.顺从的"
amplify,"v.扩展,增强,扩大"
anachronistic,"adj.时代错误的,过时的"
anarchy,"n.无政府状态,混乱"
anathema,"n.令人厌恶的"
ancillary,"adj.附属的,辅助的"
anecdote,"n.轶事,趣闻"
animadversion,"n.批评,责难"
annihilate,"v.使消失,使毁灭"
annotate,"v.给...作注释"
antagonize,"v.引起敌意"
antebellum,"adj.战争前的"
antelope,"n.羚羊"
anthropomorphism,"n.拟人论,拟人观"
antidote,"n.解毒药,对抗手段"
antipathy,"n.反感,憎恶"
apathy,"n.冷漠"
apex,"n.顶点"
apocalyptic,"adj.末日的,夸张的"
apocryphal,"adj.可疑的,虚假的"
appall,"v.使惊骇"
appealing,"adj.有吸引力的"
appease,"v.抚慰,平息,缓解"
appendix,"n.阑尾,附录"
apprentice,"n.学徒 v.当学徒"
approbation,"n.赞同,认可"
arable,"adj.适合耕种的"
arboreal,"adj.树木的,树栖的"
arcane,"adj.神秘的,难懂的"
archaic,"adj.古代的,过时的"
archetype,"n.典范,典型"
arduous,"adj.困难的,艰苦的"
arouse,"v.唤醒,引起,激起"
artful,"adj.有手腕的,狡猾巧妙的"
artless,"adj.单纯的,朴实的"
asperity,"n.严厉,粗暴"
aspersion,"n.诽谤,中伤"
assail,"v.强烈抨击,指责"
assault,"n.攻击,抨击"
assent,"v.同意,赞成 n.同意,赞成"
assiduous,"adj.刻苦的,坚持不懈的"
astonish,"v.使惊讶"
astringent,"adj.严厉的,尖刻的"
attenuate,"v.削弱,降低"
attune,"v.使协调"
atypical,"adj.非典型的,异常的"
audible,"adj.能听到的"
augment,"v.增大,加强"
augur,"n.预言者 v.预言"
aura,"n.气氛"
austere,"adj.清苦的,苦行的,严肃的,严厉的,朴素的"
avaricious,"adj.贪婪的"
avenge,"v.报仇"
aver,"v.断言,坚持"
averse,"adj.反对的,不愿意的"
avian,"adj.鸟类的"
avow,"v.承认,宣布"
awash,"adj.充斥的,充满的"
awry,"adj.歪斜的adv.出错地"
axiomatic,"adj.公理的,不证自明的"
backfire,"v.事与愿违"
backwater,"n.停滞或落后的状态(或地方)"
baffle,"v.使困惑"
ballad,"n.民谣,叙事诗歌"
bane,"n.祸根,苦恼之源"
banish,"v.驱逐,清除,排除"
barbarous,"adj.粗野的,凶残的"
barrage,"n.强有力的,快速倾泻,火力网"
barren,"adj.贫瘠的,无效的,无结果的"
barring,"prep.除...之外"
beatify,"v.祝福,赞美"
bedrock,"n.基石,基础"
befuddle,"v.迷惑"
beget,"v.引起,导致"
belated,"adj.迟来的"
beleaguer,"v.使烦扰"
belligerent,"adj.好斗的,寻衅的"
bemuse,"v.使迷惑"
beneficent,"adj.慈善的,有益的"
benign,"adj.和善的,温和的,良性的,无害的"
bent,"adj.有决心的 n.倾向"
bequeath,"v.遗赠"
berate,"v.怒斥,严责"
bereft,"adj.丧失...的,缺少...的"
bighearted,"adj.慷慨的"
bison,"n.野牛"
bizarre,"adj.古怪的"
bland,"adj.温和的,乏味的,味道淡的"
bleak,"adj.忧郁的,暗淡的,贫瘠的,荒凉的"
blessing,"n.祝福,赞同,支持"
blight,"v.使损害 n.祸因"
bloom,"v.蓬勃发展 n.鲜花盛开"
blunder,"v.犯愚蠢错误 n.愚蠢错误"
blunt,"adj.钝的,直率的,直言不讳的"
boast,"v.自夸"
bolster,"v.支持,鼓舞"
bookish,"adj.书生气的,书呆子气的"
boom,"v.快速发展 n.激增,繁荣"
boon,"n.恩惠,福利"
bootless,"adj.无用的"
bourgeois,"adj.中产阶级的"
bout,"n.一阵,一场"
brackish,"adj.微咸的,味道不好的"
brake,"v.刹车,减速"
brash,"adj.仓促鲁莽的,自以为是的"
breach,"v.违反,打破"
brevity,"n.短暂,简洁"
bridle,"v.约束,限制"
brisk,"adj.活泼的,轻快的"
bristle,"v.发怒"
brittle,"adj.易碎的,不热心的"
brook,"v.容忍"
bucolic,"adj.乡村的"
budding,"adj.萌芽期的,刚起步的"
budge,"v.移动,使改变主意"
bulky,"adj.笨重的"
bumblebee,"n.大黄蜂"
burdensome,"adj.繁重的,难以负担的"
bureaucratic,"adj.官僚的,繁文缛节的"
burgeon,"v.迅速增强"
burlesque,"v.嘲弄讽刺性模仿,恶搞"
businesslike,"adj.务实有效的"
buttress,"v.支持,加强"
byword,"n.谚语,俗语,代名词"
Byzantine,"adj.错综复杂的"
cache,"n.藏匿物"
cachet,"n.威望"
cacophony,"n.刺耳的声音"
calcium,"n.钙"
calculated,"adj.有意的,蓄谋的"
callow,"adj.幼稚无经验的"
calorie,"n.卡路里"
calumniate,"v.诽谤,中伤"
camaraderie,"n.同志情谊,友情"
camouflage,"v.伪装,掩饰"
canal,"n.运河,食管,气管"
candid,"adj.坦诚的,真挚的"
canny,"adj.精明的,谨慎的"
capitulate,"v.投降,屈服"
captivate,"v.使入迷"
cardinal,"adj.最重要的,最主要的"
carefree,"adj.无忧无虑的"
caricature,"n.讽刺性描述 v.嘲弄性模仿"
carnivorous,"adj.食肉的"
cascade,"n.大簇的下垂物 v.倾泻"
castigate,"v.严厉批评,斥责"
catalyze,"v.促进,催化"
cataract,"n.白内障"
categorical,"adj.绝对的,确定无疑的,明确的"
cater,"v.满足,提供"
cathedral,"n.大教堂"
cathode,"n.阴极,负极"
catholic,"adj.广泛的,普遍的"
caustic,"adj.尖刻的,挖苦的"
cavalier,"adj.轻慢的,漫不经心的"
cede,"v.放弃,割让"
censor,"v.审查"
censure,"v.谴责 n.谴责"
census,"n.人口普查,人口统计"
centaur,"n.半人半马怪物"
cereal,"n.麦片,谷类食物"
cetacean,"n.鲸类动物"
chaotic,"adj.混乱的"
charisma,"n.个人魅力"
charlatan,"n.骗子"
chastise,"v.严厉批评"
check,"v.阻止"
chic,"adj.时髦的,雅致的"
chicanery,"n.欺骗,诡计"
childish,"adj.稚嫩的,孩子的,幼稚的"
chilling,"adj.令人恐惧的"
chimera,"n.妄想,幻想"
chivalrous,"adj.彬彬有礼的"
choke,"v.阻塞,堵塞"
choreograph,"v.精心编排"
chronic,"adj.慢性的,复发的"
churlish,"adj.粗鲁无礼的,坏脾气的"
circuitous,"adj.间接的,迂回的"
circumspect,"adj.谨慎的"
circumvent,"v.避开,规避"
civic,"adj.城市的,市民的"
clamorous,"adj.吵闹的"
clandestine,"adj.秘密的,私下的"
clear-cut,"adj.明确的,清晰的"
clergy,"n.教士,牧师"
cliche,"n.陈词滥调"
clinical,"adj.临床的,冷静客观的"
cloak,"v.掩盖"
clownish,"adj.小丑似的,滑稽的"
cloying,"adj.(因过多而)令人发腻的"
clumsy,"adj.笨拙的"
coalesce,"v.联合,合并"
codify,"v.编辑,整理"
coeval,"adj.同时代的"
coherent,"adj.连贯一致的"
cohesive,"adj.有聚合力的"
coinage,"n.造币,新词,新词创造"
collage,"n.拼贴画"
collected,"adj.镇定的,泰然自若的"
colloquial,"adj.口语的"
combative,"adj.好斗的"
comedian,"n.喜剧演员"
comestible,"adj.可食用的"
commandeer,"v.强占,强取"
commodious,"adj.宽敞的"
commotion,"n.喧闹,骚动,混乱"
commune,"n.群体,公社"
compartment,"v.分割,划分"
compass,"v.包围 n.指南针,罗盘"
compassionate,"adj.同情的"
compendium,"n.概略"
competent,"adj.有能力的,足够的"
complacent,"adj.自满的"
complexion,"n.面色,肤色,性质,特征"
comply,"v.服从,遵守"
comprehensible,"adj.可理解的"
comprise,"v.由...组成"
compulsory,"adj.强制性的,义务的"
compunction,"n.悔恨,愧疚"
concise,"adj.简洁的"
concoct,"v.编造,杜撰"
concord,"n.和谐,一致"
concrete,"adj.明确具体的,确实的"
condemn,"v.谴责"
condign,"adj.适当的,应得的"
condone,"v.容忍,纵容"
conducive,"adj.有利于...的,有益于...的"
confederacy,"n.联盟,联邦"
confine,"v.限制"
conflate,"v.合并,混合"
confluence,"n.汇集,汇合"
conform,"v.服从,与...一致"
congregate,"v.聚集"
congruent,"adj.全等的,一致的,相称的"
conifer,"n.针叶树"
conjure,"v.想象,想起,用魔术变出"
connoisseur,"n.行家,鉴赏家"
connote,"v.隐含,暗示,含言外之意"
conscientious,"adj.一丝不苟的,小心认真的"
conscious,"adj.意识到的"
consecutive,"adj.连续的,不间断的"
consequential,"adj.重大的,随之发生的"
conservative,"adj.保守的,守旧的"
considerate,"adj.考虑周全的,体贴的"
consign,"v.交付,委托"
consolidate,"v.合并,联合,加强,巩固"
conspire,"v.密谋,合谋"
constituent,"n.选民 adj.组成的"
constrict,"v.约束,限制,收缩"
contagious,"adj.传染的,有感染力的"
contaminate,"v.污染,弄脏"
contemplate,"v.沉思,考虑"
contiguous,"adj.毗连的,相连的"
contort,"v.扭曲,歪曲"
contradict,"v.反驳,否定,与...矛盾"
contrail,"n.航迹云"
conundrum,"n.复杂难解的问题"
convalesce,"v.康复"
conversant,"adj.熟悉的,精通的"
convoluted,"adj.复杂的,费解难懂的"
convulsion,"n.动乱"
copious,"adj.大量的,充足的,丰富的"
cordial,"adj.友好热情的,热烈的"
corollary,"n.推论,结果"
corona,"n.日冕,光环"
corporal,"adj.肉体的,身体的"
corresponding,"adj.相应的,一致的"
corroborate,"v.证实"
corrosive,"adj.腐蚀性的,有害的"
cortex,"n.皮层"
cosmetic,"adj.表面的,装点门面的 n.化妆品"
coterminous,"adj.毗连的,相连的"
counterbalance,"v.抵消,平衡"
counterfeit,"v.伪造,仿冒 adj.伪造的 n.伪造品"
counterpart,"n.对应的事物"
counterproductive,"adj.适得其反的,事与愿违的"
courteous,"adj.礼貌的,客气的"
covet,"v.贪求,渴望"
cow,"v.威胁,恐吓"
crab,"v.抱怨"
crafty,"adj.狡猾的,诡计多端的,灵巧的"
crass,"adj.愚钝的,无礼的,不为他人考虑的"
crate,"n.包装箱"
credulous,"adj.轻信的,易受骗的"
creed,"n.信条,原则"
criminality,"n.犯罪"
cronyism,"n.任人唯亲"
crumble,"v.崩溃,破碎"
cryogenic,"adj.冷冻的,低温的"
culinary,"adj.厨房的,烹饪的"
culminate,"v.达到顶点"
culpable,"adj.应受谴责的,难辞其咎的"
culprit,"n.罪犯,问题的根源"
cumbersome,"adj.笨重的"
curb,"v.限制,抑制"
cynic,"n.愤世嫉俗的人"
dated,"adj.过时的,落伍的"
dazzle,"v.使目眩,使眼花缭乱"
deadlock,"n.僵局"
debase,"v.贬低,贬值"
debilitate,"v.削弱"
debris,"n.碎片,残骸"
debunk,"v.拆穿,揭露为假"
debut,"n.初次登台"
decelerate,"v.减速,减缓"
decimate,"v.大量毁灭"
decipher,"v.破译"
declamatory,"adj.慷慨陈词的,雄辩的"
decompose,"v.分解,腐烂"
decorous,"adj.端庄得体的,符合礼仪的"
decouple,"v.脱离关系,使不相干"
decry,"v.公开谴责,抨击,反对"
defer,"v.服从,顺从,推迟"
defiant,"adj.违抗的,藐视的"
deflect,"v.转移,改变方向"
defraud,"v.诈骗钱财"
deft,"adj.熟练的,灵巧的"
dehydrate,"v.脱水"
deify,"v.把...神化,崇拜"
deign,"v.屈尊,俯就,降低身份"
deliberate,"v.深思熟虑,仔细考虑 adj.故意的,蓄意的,谨慎的,不慌不忙的"
delineate,"v.描述,阐明"
deluge,"n.洪水,泛滥 v.使充斥"
delve,"v.探究,钻研"
demarcate,"v.划定界限"
demean,"v.贬低,侮辱"
demise,"n.死亡,终止"
demography,"n.人口统计,人口统计学"
demolish,"v.彻底摧毁"
demote,"v.使降级"
demotic,"adj.通俗的,大众的"
demur,"v.反对,提出异议"
denigrate,"v.诽谤,污蔑,贬损"
denounce,"v.谴责"
deplore,"v.悲悼,哀叹,公开谴责"
deprave,"v.使堕落"
deprecate,"v.反对,贬低,轻视"
deprive,"v.剥夺,使丧失"
deride,"v.嘲笑,嘲弄,污蔑"
descend,"v.下降,传承"
despotic,"adj.专横的"
detain,"v.拘留,扣押,耽搁,阻止"
detest,"v.憎恶,厌恶"
detour,"n.绕行,弯路"
detrimental,"adj.有害的,不利的"
detritus,"n.残渣"
deviate,"v.偏离"
dexterous,"adj.灵巧的,熟练的"
diabetes,"n.糖尿病"
diatribe,"n.抨击,谴责"
dictum,"n.格言,宣言"
dilate,"v.扩张"
diligent,"adj.勤奋的"
diminutive,"adj.微小的"
dipole,"n.偶极子"
discreet,"adj.谨慎的,考虑周全的"
discrepant,"adj.矛盾的,有差异的"
discriminatory,"adj.歧视的,不公平的"
discursive,"adj.散漫离题的,不着边际的"
disgruntle,"v.使不高兴,使不满"
disguise,"v.掩饰"
dishearten,"v.使沮丧,使气馁"
disintegrate,"v.瓦解,破碎"
disjunction,"n.分离"
dismantle,"v.拆除,废除"
disorganize,"v.扰乱,混乱"
disparage,"v.贬低,轻视"
disparate,"adj.迥然不同的"
dispassionate,"adj.冷静的,客观公正的"
dispel,"v.驱散,消除"
disproportionate,"adj.不成比例的"
disquiet,"v.使不安,使焦虑 n.忧虑,烦恼"
disruptive,"adj.引起混乱的,破坏性的"
disseminate,"v.传播,散布"
distill,"v.蒸馏,提取"
distinctive,"adj.与众不同的,独特的"
distort,"v.扭曲,曲解"
distract,"v.使分心,转移(注意力)"
divergent,"adj.不同的,有分歧的"
divest,"v.剥夺,使丢弃"
divine,"adj.神圣的,上帝的"
divisive,"adj.引起分歧的,造成不和的"
divorced,"adj.脱离的"
divulge,"v.泄露,透露"
doctrinaire,"n.教条主义者 adj.教条主义的,脱离实际的,空谈理论的"
dogmatic,"adj.教条主义的"
domesticate,"v.驯化,"
dormant,"adj.静止的,休眠的"
dossier,"n.档案,卷宗"
dour,"adj.严厉的,阴郁的,固执的"
downplay,"v.轻描淡写,轻视"
downright,"adj.完全的,彻底的,十足的"
drab,"adj.单调乏味的"
draconian,"adj.严苛的"
drain,"v.排水,消耗"
drawback,"n.缺点,不利条件"
dread,"v.恐惧,忧虑不安 n.恐惧,令人恐惧的事物"
dubious,"adj.可疑的,不可靠的,拿不准的"
dull,"adj.枯燥无味的"
dupe,"n.易受骗的人,欺骗"
durable,"adj.持久的,耐用的"
dwell,"v.居住"
dwindle,"v.逐渐减少"
dynamite,"n.炸药"
dynamo,"n.发电机"
earnest,"adj.严肃认真的,真诚的"
easygoing,"adj.随和的,平和的"
eccentric,"adj.古怪的,异乎寻常的"
economy,"n.节约"
edible,"adj.可以食用的"
edify,"v.启发,熏陶,教化"
efficacious,"adj.有效的"
effusive,"adj.热情洋溢的"
elastic,"adj.弹性的,灵活的"
electorate,"n.全体选民"
electride,"n.电子化合物"
elementary,"adj.初级的,基本的"
elephantine,"adj.巨大的,笨重的"
eliminate,"v.排除,消灭"
ellipsoidal,"adj.椭圆的,椭圆形的"
eloquent,"adj.雄辩的,有口才的"
elucidate,"v.阐明"
emancipate,"v.解放,使不受束缚"
embargo,"n.贸易禁运"
embed,"v.嵌入"
embellish,"v.美化,装饰"
embody,"v.体现,使具体化"
embroider,"v.在...上刺绣,加以渲染"
embryonic,"adj.胚芽期的,初期的"
eminent,"adj.杰出的,非凡的"
empirical,"adj.经验主义的,以实验为依据的"
empower,"v.授权"
enact,"v.颁布,通过"
enchant,"v.使陶醉,使着迷"
encroach,"v.侵占,蚕食"
encumber,"v.妨碍,阻碍 使负担沉重"
endemic,"adj.地方性的,(某地)特有的"
endocrine,"adj.内分泌的"
endogamy,"adj.同族结婚,族内结婚"
endogenous,"adj.内源的"
endorse,"v.支持,认可"
enduring,"adj.持久的,耐久的"
enervate,"v.使衰弱"
engender,"v.导致,引发"
enigmatic,"adj.神秘的,难懂的"
enlighten,"v.启发,开导,阐明"
enliven,"v.使活跃,使更有生气"
enmity,"n.敌意,不和,仇恨"
enormous,"adj.庞大的,极大的"
enroll,"v.登记,注册"
ensemble,"n.整体,整体效果,乐团,合奏组"
ensue,"v.随即发生"
entail,"v.牵涉,使必要"
entangle,"v.卷入,使纠缠"
enthrall,"v.使入迷"
entice,"v.引诱,诱惑"
entrance,"v.使狂喜,使入迷 n.准许加入,进入许可,入口"
entrench,"v.巩固,牢固确立"
enzyme,"n.酶"
ephemeral,"adj.短暂的,瞬息的"
epidemic,"n.流行病 adj.流行的"
epilogue,"n.结语,尾声,后记"
epistolary,"adj.书信的"
epitome,"n.典型,典范"
equilibrium,"n.平衡,均衡,均势"
equivocal,"adj.模棱两可的,意义双关的"
eradicate,"v.根除,消灭"
erect,"adj.直立的,垂直的,竖直的 v.建立,建造"
errant,"adj.行为不端的,错误的"
erroneous,"adj.错误的"
erstwhile,"adj.之前的,过去的"
erudite,"adj.博学的"
eschew,"v.避开,回避"
espouse,"v.支持,拥护"
estrange,"v.使疏远"
eternal,"adj.永恒的,永久的"
ethereal,"adj.超凡的,优雅的"
ethical,"adj.道德的,伦理的"
ethnic,"adj.种族的,人种的"
ethnocentric,"adj.民族中心的,种族优越感"
ethos,"n.气质,理念"
eurasia,"n.欧亚大陆"
Eurasia,"n.欧亚大陆"
evanescent,"adj.稍纵即逝的"
evaporate,"v.蒸发,消失"
evasive,"adj.推脱的,推诿的"
evenhanded,"adj.公平的"
evince,"v.表明,表现"
evocative,"adj.唤起的,引起记忆的"
evolutionary,"adj.进化的,演变的"
exacerbate,"v.恶化,加固"
exacting,"adj.费劲的,需要付出很大努力的"
exasperate,"v.激怒,使恼怒"
excavate,"v.挖掘"
excrete,"v.排泄,排出"
exculpate,"v.开脱罪名"
exemplar,"n.模范,榜样"
exhilarate,"v.使兴奋,使激动"
exigent,"adj.紧迫的,苛求的"
exile,"v.流放,流亡"
exogamy,"n.外族通婚"
